1301 東証1部 (株)極洋（水産・農林業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"1983-01-04","144","144","140","141","309000","1410"
"1983-01-05","144","155","142","153","2416000","1530"
"1983-01-06","162","168","157","160","7245000","1600"
"1983-01-07","160","162","155","155","1532000","1550"
"1983-01-08","157","158","152","152","340000","1520"
"1983-01-10","155","155","151","153","662000","1530"
"1983-01-11","156","164","153","164","1604000","1640"
"1983-01-12","164","164","160","160","1467000","1600"
"1983-01-13","160","161","158","158","495000","1580"
"1983-01-14","159","160","156","157","622000","1570"
"1983-01-17","158","165","158","164","1952000","1640"
"1983-01-18","166","166","160","162","1468000","1620"
"1983-01-19","164","167","158","160","1812000","1600"
"1983-01-20","160","165","160","162","771000","1620"
"1983-01-21","163","164","158","158","745000","1580"
"1983-01-22","160","160","158","160","251000","1600"
"1983-01-24","156","159","155","155","505000","1550"
"1983-01-25","155","156","153","153","291000","1530"
"1983-01-26","155","157","154","157","327000","1570"
"1983-01-27","155","166","155","162","1137000","1620"
"1983-01-28","167","174","167","167","4007000","1670"
"1983-01-29","172","172","168","170","1096000","1700"
"1983-01-31","170","172","162","162","874000","1620"
"1983-02-01","165","168","163","165","531000","1650"
"1983-02-02","170","170","163","163","589000","1630"
"1983-02-03","165","165","160","160","322000","1600"
"1983-02-04","161","164","160","160","255000","1600"
"1983-02-05","160","167","160","166","250000","1660"
"1983-02-07","166","169","162","162","344000","1620"
"1983-02-08","162","165","161","161","218000","1610"
"1983-02-09","161","164","160","160","224000","1600"
"1983-02-10","160","161","155","155","240000","1550"
"1983-02-12","164","167","161","167","484000","1670"
"1983-02-14","170","173","165","165","1061000","1650"
"1983-02-15","165","169","165","166","556000","1660"
"1983-02-16","168","169","163","165","472000","1650"
"1983-02-17","164","164","160","160","292000","1600"
"1983-02-18","161","163","155","156","194000","1560"
"1983-02-21","161","163","158","158","209000","1580"
"1983-02-22","163","165","160","162","288000","1620"
"1983-02-23","165","167","163","165","592000","1650"
"1983-02-24","167","171","166","168","1942000","1680"
"1983-02-25","171","173","168","168","904000","1680"
"1983-02-26","170","170","164","164","344000","1640"
"1983-02-28","169","170","166","166","226000","1660"
"1983-03-01","170","170","166","168","335000","1680"
"1983-03-02","168","168","162","162","308000","1620"
"1983-03-03","162","163","161","162","143000","1620"
"1983-03-04","160","160","158","158","244000","1580"
"1983-03-05","158","160","158","158","50000","1580"
"1983-03-07","158","158","158","158","113000","1580"
"1983-03-08","156","160","156","157","124000","1570"
"1983-03-09","158","162","158","161","157000","1610"
"1983-03-10","164","165","160","160","71000","1600"
"1983-03-11","161","161","158","158","107000","1580"
"1983-03-12","163","163","159","159","94000","1590"
"1983-03-14","159","163","159","163","47000","1630"
"1983-03-15","161","161","158","160","137000","1600"
"1983-03-16","160","160","156","160","187000","1600"
"1983-03-17","158","160","156","159","97000","1590"
"1983-03-18","157","158","157","157","100000","1570"
"1983-03-22","157","157","156","156","61000","1560"
"1983-03-23","157","157","156","156","92000","1560"
"1983-03-24","159","162","158","162","170000","1620"
"1983-03-25","161","162","157","157","250000","1570"
"1983-03-26","159","163","159","162","122000","1620"
"1983-03-28","166","166","164","165","83000","1650"
"1983-03-29","165","168","164","168","685000","1680"
"1983-03-30","170","174","170","170","1315000","1700"
"1983-03-31","170","176","170","172","1319000","1720"
"1983-04-01","172","174","165","169","493000","1690"
"1983-04-02","166","169","166","166","62000","1660"
"1983-04-04","171","171","167","169","368000","1690"
"1983-04-05","168","170","168","168","242000","1680"
"1983-04-06","166","170","166","168","185000","1680"
"1983-04-07","168","169","166","168","151000","1680"
"1983-04-08","166","171","165","168","341000","1680"
"1983-04-09","169","169","168","168","88000","1680"
"1983-04-11","169","170","167","167","131000","1670"
"1983-04-12","167","168","166","167","81000","1670"
"1983-04-13","170","172","168","168","679000","1680"
"1983-04-14","169","170","168","168","123000","1680"
"1983-04-15","168","169","167","169","505000","1690"
"1983-04-18","170","170","167","167","444000","1670"
"1983-04-19","170","170","167","167","170000","1670"
"1983-04-20","166","167","165","166","92000","1660"
"1983-04-21","163","166","161","162","144000","1620"
"1983-04-22","163","165","163","163","101000","1630"
"1983-04-23","164","165","163","163","102000","1630"
"1983-04-25","164","168","163","165","108000","1650"
"1983-04-26","165","166","164","164","214000","1640"
"1983-04-27","164","165","163","163","287000","1630"
"1983-04-28","163","163","161","161","211000","1610"
"1983-04-30","162","162","158","158","59000","1580"
"1983-05-02","159","160","158","159","62000","1590"
"1983-05-04","158","158","157","157","145000","1570"
"1983-05-06","157","158","156","157","109000","1570"
"1983-05-07","157","158","156","156","170000","1560"
"1983-05-09","157","157","156","157","49000","1570"
